study_accession,sample_accession,submission_date,source,organism,strain,age,Strain,Age,sex,cell type,Sex
GSE16035,GSM401312,2009,"Murine primary cortical neurons, control",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401313,2009,"Murine primary cortical neurons, control",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401314,2009,"Murine primary cortical neurons, control",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401315,2009,"Murine primary cortical neurons, control",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401316,2009,"Murine primary cortical neurons, control",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401317,2009,"Murine primary cortical neurons, control",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401318,2009,"Murine primary cortical neurons, NaHS, 5h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401319,2009,"Murine primary cortical neurons, NaHS, 5h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401320,2009,"Murine primary cortical neurons, NaHS, 5h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401321,2009,"Murine primary cortical neurons, NaHS, 15h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401322,2009,"Murine primary cortical neurons, NaHS, 15h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401323,2009,"Murine primary cortical neurons, NaHS, 15h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401324,2009,"Murine primary cortical neurons, NaHS, 24h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401325,2009,"Murine primary cortical neurons, NaHS, 24h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401326,2009,"Murine primary cortical neurons, NaHS, 24h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
